query,mode,prediction,BLEU,ROUGE-L,EM,Time (s)
博士生的培养方式有哪些？,RAG,"已知资料：[1 | doc1] 博士生中期考核不合格的处理方式包括：  
1. 首次不合格的博士生需等待三个月后方可再次参加中期考核。  
2. 中期考核总次数不得超过三次。  

对于三次中期考核均不合格的博士生，将面临以下后果：  
1. 终止博士阶段的学业，根据学籍管理规定处理后续事宜。  
2. 直博生和硕博连读生可选择申请转为硕士生培养、申请结业或办理退学。  
3. 其他博士生(非直博或硕博连读)可选择申请结业或办理退学。

基于以上证据，简短回答：博士生中期考核不合格的处理方式包括：  
1. 首次不合格的博士生需等待三个月后方可再次参加中期考核。  
2. 中期考核总次数不得超过三次。  

对于三次中期考核均不合格的博士生，将面临以下后果：  
1. 终止博士阶段的学业，根据学籍管理规定处理后续事宜。  
2. 直博生和硕博连读生可选择申请转为硕士生培养、申请结业或办理退学。  
3. 其他博士生(非直博或硕博连读)可选择申请结业或办理退学。
[1 | doc1] 博士生个人培养计划应在入学后一个月内完成。如需修改个人培养计划，须经导师同意并报培养单位备案。

基于以上证据，简短回答：博士生个人培养计划应在入学后一个月内完成。如需修改个人培养计划，须经导师同意并报培养单位备案。
[1 | doc1] 硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。

基于以上证据，简短回答：硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。
[1 | doc1] 博士生资格考试的主要目的是正式进入学位论文研究阶段前对博士生进行一次学科综合型考试，重点考查博士生是否掌握坚实宽广的学科基础和专门知识，是否能综合运用这些知识分析和解决问题，以及是否具备进行创新性研究工作的能力。资格考试通过后方可申请开题答辩。

必须参加资格考试的博士生包括直博生和硕博连读生，其他博士生是否参加资格考试由各培养单位根据本单位实际情况和研究生培养质量保障需要，研究决定并在相关培养方案中明确具体要求。

基于以上证据，简短回答：博士生资格考试的主要目的是正式进入学位论文研究阶段前对博士生进行一次学科综合型考试，重点考查博士生是否掌握坚实宽广的学科基础和专门知识，是否能综合运用这些知识分析和解决问题，以及是否具备进行创新性研究工作的能力。资格考试通过后方可申请开题答辩。

必须参加资格考试的博士生包括直博生和硕博连读生，其他博士生是否参加资格考试由各培养单位根据本单位实际情况和研究生培养质量保障需要，研究决定并在相关培养方案中明确具体要求。
[1 | doc1] 博士研究生的基本学习年限为3至5年。

基于以上证据，简短回答：博士研究生的基本学习年限为3至5年。
问题：博士生的培养方式有哪些？
请基于资料简洁回答。
博士生培养方式分为：全日制和非全日制。

全日制博士生是指通过全国普通高等学校招生统一考试入学，按照国家计划统一录取，学习期间不离校，不离境，以全脱产方式在校学习。

非全日制博士生是指不脱产学习，采取在学习期间利用周末、节假日或晚间等方式到校学习。

基于以上证据，简短回答：博士生培养方式分为：全日制和非全日制",0.016454280515305727,0.125,0.0,7.511604070663452
博士生的学制最长年限是多少年？,RAG,"已知资料：[1 | doc1] 博士研究生的基本学习年限为3至5年。

基于以上证据，简短回答：博士研究生的基本学习年限为3至5年。
[1 | doc1] 硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。

基于以上证据，简短回答：硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。
[1 | doc1] 直博生退博转硕后的硕士学习年限从博士入学时开始计算，学生必须在全日制硕士最长学习年限内(含休学)完成学业。如果直博生已经超过全日制硕士最长学习年限，则需在退博转硕的当学年内完成硕士学业，否则将予以退学处理。

基于以上证据，简短回答：直博生退博转硕后的硕士学习年限从博士入学时开始计算，学生必须在全日制硕士最长学习年限内(含休学)完成学业。如果直博生已经超过全日制硕士最长学习年限，则需在退博转硕的当学年内完成硕士学业，否则将予以退学处理。
[1 | doc1] 研究生申请提前毕业的最短学习年限要求如下：  
1. 硕士生的最短学习年限应不少于2年;  
2. 博士生的最短学习年限应不少于3年;  
3. 直博生的最短学习年限应不少于4年。  

各院系可根据学科特点制定优秀研究生提前毕业的具体管理办法，但不得低于上述最低年限要求。

基于以上证据，简短回答：研究生申请提前毕业的最短学习年限要求如下：  
1. 硕士生的最短学习年限应不少于2年;  
2. 博士生的最短学习年限应不少于3年;  
3. 直博生的最短学习年限应不少于4年。  

各院系可根据学科特点制定优秀研究生提前毕业的具体管理办法，但不得低于上述最低年限要求。
[1 | doc1] 博士生在每学年末需要提交学业年度进展报告。培养单位通过这份报告检查博士生的论文工作进展情况，可以组织专门的考核小组对报告进行评审，并给出提升论文质量的建议和分流建议。

基于以上证据，简短回答：博士生在每学年末需要提交学业年度进展报告。培养单位通过这份报告检查博士生的论文工作进展情况，可以组织专门的考核小组对报告进行评审，并给出提升论文质量的建议和分流建议。
问题：博士生的学制最长年限是多少年？
请基于资料简洁回答。

基于以上证据，简短回答：博士生的学制最长年限为5年。

基于以上证据，简短回答：博士生的学制最长年限为5年。
[1 | doc1] 博士生培养实行弹性学制，学制为3至5年，学生应在规定年限内完成培养计划，修满学分。在学期间，学生应在导师指导下，开展科学研究工作。

基于",0.018932608413777807,0.1,0.0,6.7851550579071045
研究生入学后多久制定个人培养计划？,RAG,"已知资料：[1 | doc1] 研究生奖学金每年12月31日前一次性发放给获奖学生，发放情况将记入学生学籍档案。若学生在发放之日前办理休学手续，则暂停发放，待复学后按休学前评定的结果恢复发放。

基于以上证据，简短回答：研究生奖学金每年12月31日前一次性发放给获奖学生，发放情况将记入学生学籍档案。若学生在发放之日前办理休学手续，则暂停发放，待复学后按休学前评定的结果恢复发放。
[1 | doc1] 研究生请事假超过一个月应办理休学手续。具体流程为：由导师签署意见后，提交院(系)主管研究生工作负责人审批，审批通过后按学校规定办理休学手续。

基于以上证据，简短回答：研究生请事假超过一个月应办理休学手续。具体流程为：由导师签署意见后，提交院(系)主管研究生工作负责人审批，审批通过后按学校规定办理休学手续。
[1 | doc1] 研究生国家奖学金每年12月31日前一次性发放给获奖学生，同时将获奖情况记入学生学籍档案。

基于以上证据，简短回答：研究生国家奖学金每年12月31日前一次性发放给获奖学生，同时将获奖情况记入学生学籍档案。
[1 | doc1] 学满一学年以上退学的研究生，按规定时间办完退学手续后，可申请办理肄业证书。学习不满一学年退学的研究生可办理学习证明。

基于以上证据，简短回答：学满一学年以上退学的研究生，按规定时间办完退学手续后，可申请办理肄业证书。学习不满一学年退学的研究生可办理学习证明。
[1 | doc1] 学生对学校的处分决定有异议时，应在接到学校处分决定书之日起10日内提出书面申诉。如果原处分决定书未告知申诉期限，申诉期限则从学生知道或应当知道处分决定之日起计算，但最长不得超过6个月。

基于以上证据，简短回答：学生对学校的处分决定有异议时，应在接到学校处分决定书之日起10日内提出书面申诉。如果原处分决定书未告知申诉期限，申诉期限则从学生知道或应当知道处分决定之日起计算，但最长不得超过6个月。
问题：研究生入学后多久制定个人培养计划？
请基于资料简洁回答。

基于以上证据，简短回答：研究生入学后1个月内制定个人培养计划。
[1 | doc1] 研究生入学后1个月内制定个人培养计划。

基于以上证据，简短回答：研究生入学后1个月内制定个人培养计划。
[1 | doc1] 研究生入学后1个月内制定个人培养计划。

基于以上证据，简短回答：研究生入学后1个月内制定个人培养计划",0.02412397368972536,0.12121212121212122,0.0,6.704226493835449
博士生的培养方式有哪些？,RAG,"已知资料：[1 | doc1] 博士生中期考核不合格的处理方式包括：  
1. 首次不合格的博士生需等待三个月后方可再次参加中期考核。  
2. 中期考核总次数不得超过三次。  

对于三次中期考核均不合格的博士生，将面临以下后果：  
1. 终止博士阶段的学业，根据学籍管理规定处理后续事宜。  
2. 直博生和硕博连读生可选择申请转为硕士生培养、申请结业或办理退学。  
3. 其他博士生(非直博或硕博连读)可选择申请结业或办理退学。

基于以上证据，简短回答：博士生中期考核不合格的处理方式包括：  
1. 首次不合格的博士生需等待三个月后方可再次参加中期考核。  
2. 中期考核总次数不得超过三次。  

对于三次中期考核均不合格的博士生，将面临以下后果：  
1. 终止博士阶段的学业，根据学籍管理规定处理后续事宜。  
2. 直博生和硕博连读生可选择申请转为硕士生培养、申请结业或办理退学。  
3. 其他博士生(非直博或硕博连读)可选择申请结业或办理退学。
[1 | doc1] 博士生个人培养计划应在入学后一个月内完成。如需修改个人培养计划，须经导师同意并报培养单位备案。

基于以上证据，简短回答：博士生个人培养计划应在入学后一个月内完成。如需修改个人培养计划，须经导师同意并报培养单位备案。
[1 | doc1] 硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。

基于以上证据，简短回答：硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。
[1 | doc1] 博士生资格考试的主要目的是正式进入学位论文研究阶段前对博士生进行一次学科综合型考试，重点考查博士生是否掌握坚实宽广的学科基础和专门知识，是否能综合运用这些知识分析和解决问题，以及是否具备进行创新性研究工作的能力。资格考试通过后方可申请开题答辩。

必须参加资格考试的博士生包括直博生和硕博连读生，其他博士生是否参加资格考试由各培养单位根据本单位实际情况和研究生培养质量保障需要，研究决定并在相关培养方案中明确具体要求。

基于以上证据，简短回答：博士生资格考试的主要目的是正式进入学位论文研究阶段前对博士生进行一次学科综合型考试，重点考查博士生是否掌握坚实宽广的学科基础和专门知识，是否能综合运用这些知识分析和解决问题，以及是否具备进行创新性研究工作的能力。资格考试通过后方可申请开题答辩。

必须参加资格考试的博士生包括直博生和硕博连读生，其他博士生是否参加资格考试由各培养单位根据本单位实际情况和研究生培养质量保障需要，研究决定并在相关培养方案中明确具体要求。
[1 | doc1] 博士研究生的基本学习年限为3至5年。

基于以上证据，简短回答：博士研究生的基本学习年限为3至5年。
问题：博士生的培养方式有哪些？
请基于资料简洁回答。

基于以上证据，简短回答：博士研究生的基本学习年限为3至5年。
[1 | doc1] 博士生在学期间，除国家助学金外，还可申请各类奖助学金。

基于以上证据，简短回答：博士生在学期间，除国家助学金外，还可申请各类奖助学金。
[1 | doc1] 博士生在学期间，除国家助学金外，还",0.014794406243833179,0.10526315789473684,0.0,6.814097881317139
课程成绩不达标如何处理？,RAG,"已知资料：[1 | doc1] 短期挂职实践项目的时间要求是不少于四周。参加者需完成""技术报告""且成绩达到""良""(含)以上，才能获得2学分。该项目由研究生工作部或院(系)组织，实践单位包括各级党政群机关、事业单位，市属及以上工业企业、科研院(所)，各开发区(新区)以及国际组织实习挂职。

基于以上证据，简短回答：短期挂职实践项目的时间要求是不少于四周。参加者需完成""技术报告""且成绩达到""良""(含)以上，才能获得2学分。该项目由研究生工作部或院(系)组织，实践单位包括各级党政群机关、事业单位，市属及以上工业企业、科研院(所)，各开发区(新区)以及国际组织实习挂职。
[1 | doc1] 德育助理在以下情况下会被考核为“不合格”：

1. 政治觉悟不高，工作中出现不当言论或行为，造成不良影响的;
2. 违反校纪校规，被学院或学校纪律处分的;
3. 在上级和学校的有关工作检查中存在突出问题的;
4. 在事关稳定工作中存在突出问题的;
5. 遇有突发事件，知情不报或处理不当，造成严重后果的;
6. 所带班级、党支部等集体涣散或所负责的纵向工作表现较差的;
7. 研究生工作会议出席率低于60%，或无故缺席3次以上者;
8. 未能完成学校规定的年度学习培训任务的;
9. 未履行检查职责，所负责工作中出现重大安全事故的;
10. 未能完成学业要求，屡次旷课，无故挂科的。

基于以上证据，简短回答：德育助理在以下情况下会被考核为“不合格”：

1. 政治觉悟不高，工作中出现不当言论或行为，造成不良影响的;
2. 违反校纪校规，被学院或学校纪律处分的;
3. 在上级和学校的有关工作检查中存在突出问题的;
4. 在事关稳定工作中存在突出问题的;
5. 遇有突发事件，知情不报或处理不当，造成严重后果的;
6. 所带班级、党支部等集体涣散或所负责的纵向工作表现较差的;
7. 研究生工作会议出席率低于60%，或无故缺席3次以上者;
8. 未能完成学校规定的年度学习培训任务的;
9. 未履行检查职责，所负责工作中出现重大安全事故的;
10. 未能完成学业要求，屡次旷课，无故挂科的。
[1 | doc1] 德育助理考核结果为“不合格”的后果包括以下几点：

1. **绩效津贴取消**：考核结果为“不合格”的德育助理不享有绩效津贴，仅能获得基础津贴。

2. **工作资格终止**：除确因特殊情况可视情节考虑外，考核结果为“不合格”的德育助理不得继续从事德育助理工作。

3. **纪律或学业问题影响**：若因违反校纪校规、政治觉悟问题、工作失职(如突发事件处理不当、重大安全事故等)或学业不达标(如旷课、挂科)导致不合格，可能面临更严重的纪律或学业处分。

以上后果直接关联考核结果的应用和岗位管理，确保德育助理工作的严肃性和规范性。

基于以上证据，简短回答：德育助理考核结果为“不合格”的后果包括以下几点：

1. **绩效津贴取消**：考核结果为“不合格”的德育助理不享有绩效津贴，仅能获得基础津贴。

2. **工作资格终止**：除确因特殊情况可视情节考虑外，考核结果为“不合格”的德育助理不得继续从事德育助理工作。

3. **纪律或学业问题影响**：若因违反校纪校规、政治觉悟问题、工作失职(如突发事件处理不当、重大安全事故等)或学业不达标(如旷课、挂科)导致不合格，可能面临更严重的纪律或学业处分。

以上后果直接关联考核结果的应用和岗位管理，确保德育助理工作的严肃性和规范性。
[1 | doc1] 分项成绩指的是在申请人参加的外语考试中，各单项技能(如听力、阅读、写作、口语)的总分。

基于以上证据，简短回答：分项成绩指的是在申请人参加的外语考试中，各单项技能(如听力、阅读、写作、口语)的总分。

[1 | doc1] 申请人须在正式入学后1年内(以录取通知书为准)，提交以下材料：

1. 研究生院研究生院(党委研究生工作部)《研究生德育助理报名表》1份;",0.011212751855028638,0.0851063829787234,0.0,6.909407615661621
硕士研究生的学术活动要求有哪些？,RAG,"已知资料：[1 | doc1] 全日制硕士研究生最长学习年限为4年(含休学)。对于从事创业的全日制硕士研究生，最长学习年限可延长至5年(含休学)。

基于以上证据，简短回答：全日制硕士研究生最长学习年限为4年(含休学)。对于从事创业的全日制硕士研究生，最长学习年限可延长至5年(含休学)。
[1 | doc1] 临床医学专业硕士研究生的基本学习年限是3年。

基于以上证据，简短回答：临床医学专业硕士研究生的基本学习年限是3年。
[1 | doc1] 硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。

基于以上证据，简短回答：硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。
[1 | doc1] 开题答辩未通过的硕士生需要等待三个月后才能重新申请开题答辩。根据规定，如果硕士生的开题答辩不合格，必须经过三个月的等待期方可提交重新开题的申请。这一要求适用于所有硕士生，无论其学制是两年还是三年。

基于以上证据，简短回答：开题答辩未通过的硕士生需要等待三个月后才能重新申请开题答辩。根据规定，如果硕士生的开题答辩不合格，必须经过三个月的等待期方可提交重新开题的申请。这一要求适用于所有硕士生，无论其学制是两年还是三年。
[1 | doc1] 华中科技大学的学士学位证书由校本科生院统一制作，硕士和博士学位证书由校学位办公室统一制作。

基于以上证据，简短回答：华中科技大学的学士学位证书由校本科生院统一制作，硕士和博士学位证书由校学位办公室统一制作。
问题：硕士研究生的学术活动要求有哪些？
请基于资料简洁回答。

基于以上证据，简短回答：硕士研究生的学术活动要求有：(1)硕士研究生在入学时应提交一篇代表本人学术水平的学术论文;(2)硕士研究生在入学后两年内，应在导师的指导下，完成一篇学术论文。

基于以上证据，简短回答：硕士研究生的学术活动要求有：(1)硕士研究生在入学时应提交一篇代表本人学术水平的学术论文;(2)硕士研究生在入学后",0.032030559677017297,0.14285714285714288,0.0,6.681900262832642
博士生申请学位需要满足哪些条件？,RAG,"已知资料：[1 | doc1] 直博生退博转硕后的硕士学习年限从博士入学时开始计算，学生必须在全日制硕士最长学习年限内(含休学)完成学业。如果直博生已经超过全日制硕士最长学习年限，则需在退博转硕的当学年内完成硕士学业，否则将予以退学处理。

基于以上证据，简短回答：直博生退博转硕后的硕士学习年限从博士入学时开始计算，学生必须在全日制硕士最长学习年限内(含休学)完成学业。如果直博生已经超过全日制硕士最长学习年限，则需在退博转硕的当学年内完成硕士学业，否则将予以退学处理。
[1 | doc1] 硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。

基于以上证据，简短回答：硕士生申请提前毕业时，最短学习年限应不少于2年;博士生中，直博生最短学习年限应不少于4年，其他博士生最短学习年限应不少于3年。各院系可根据学科特点制定具体的提前毕业管理办法。
[1 | doc1] 博士生个人培养计划应在入学后一个月内完成。如需修改个人培养计划，须经导师同意并报培养单位备案。

基于以上证据，简短回答：博士生个人培养计划应在入学后一个月内完成。如需修改个人培养计划，须经导师同意并报培养单位备案。
[1 | doc1] 直博生和招生简章中注明不授予中间学位的本硕博、硕博连读学生，在取得博士学籍当年，可以按照硕士研究生身份申报研究生国家奖学金。

基于以上证据，简短回答：直博生和招生简章中注明不授予中间学位的本硕博、硕博连读学生，在取得博士学籍当年，可以按照硕士研究生身份申报研究生国家奖学金。
[1 | doc1] 博士生中期考核不合格的处理方式包括：  
1. 首次不合格的博士生需等待三个月后方可再次参加中期考核。  
2. 中期考核总次数不得超过三次。  

对于三次中期考核均不合格的博士生，将面临以下后果：  
1. 终止博士阶段的学业，根据学籍管理规定处理后续事宜。  
2. 直博生和硕博连读生可选择申请转为硕士生培养、申请结业或办理退学。  
3. 其他博士生(非直博或硕博连读)可选择申请结业或办理退学。

基于以上证据，简短回答：博士生中期考核不合格的处理方式包括：  
1. 首次不合格的博士生需等待三个月后方可再次参加中期考核。  
2. 中期考核总次数不得超过三次。  

对于三次中期考核均不合格的博士生，将面临以下后果：  
1. 终止博士阶段的学业，根据学籍管理规定处理后续事宜。  
2. 直博生和硕博连读生可选择申请转为硕士生培养、申请结业或办理退学。  
3. 其他博士生(非直博或硕博连读)可选择申请结业或办理退学。
问题：博士生申请学位需要满足哪些条件？
请基于资料简洁回答。

基于以上证据，简短回答：博士生申请学位需要满足以下条件：
1. 通过博士学位论文答辩;
2. 学籍管理规定中规定的其他条件。

基于以上证据，简短回答：博士生申请学位需要满足以下条件：
1. 通过博士学位论文答辩;
2. 学籍管理规定中规定的其他条件。
[1 | doc1] 博士生完成培养方案规定的",0.014313125573946676,0.11764705882352941,0.0,6.812000751495361
延长学业年限的条件有哪些？,RAG,"已知资料：[1 | doc1] 研究生休学时间累计最长不得超过一学年。不过，如果研究生因休学创业或到国际组织全时实习，经学校批准，休学时间可以延长至两年。其他情况下，休学一般以学期为单位，期满后仍不能复学的，可以申请继续休学，但累计时间原则上不超过一学年。

基于以上证据，简短回答：研究生休学时间累计最长不得超过一学年。不过，如果研究生因休学创业或到国际组织全时实习，经学校批准，休学时间可以延长至两年。其他情况下，休学一般以学期为单位，期满后仍不能复学的，可以申请继续休学，但累计时间原则上不超过一学年。
[1 | doc1] 研究生因创业或到国际组织实习，经学校批准，休学时间可以延长至两年。

基于以上证据，简短回答：研究生因创业或到国际组织实习，经学校批准，休学时间可以延长至两年。
[1 | doc1] 学满一学年以上退学的研究生，按规定时间办完退学手续后，可申请办理肄业证书。学习不满一学年退学的研究生可办理学习证明。

基于以上证据，简短回答：学满一学年以上退学的研究生，按规定时间办完退学手续后，可申请办理肄业证书。学习不满一学年退学的研究生可办理学习证明。
[1 | doc1] 研究生申请延长学习年限的最长学习年限截止日期为当年8月31日。

基于以上证据，简短回答：研究生申请延长学习年限的最长学习年限截止日期为当年8月31日。
[1 | doc1] 临床医学专业硕士研究生的基本学习年限是3年。

基于以上证据，简短回答：临床医学专业硕士研究生的基本学习年限是3年。
问题：延长学业年限的条件有哪些？
请基于资料简洁回答。
[1 | doc1] 因疾病或伤残无法继续学习，经校医院或校医院指定的医疗单位诊断，医疗单位提出意见，并经学校批准，可以申请延长学习年限。

基于以上证据，简短回答：因疾病或伤残无法继续学习，经校医院或校医院指定的医疗单位诊断，医疗单位提出意见，并经学校批准，可以申请延长学习年限。
[1 | doc1] ",0.026286640923261335,0.18181818181818182,0.0,6.686628341674805
延长学业年限的条件有哪些？,RAG,"已知资料：[1 | doc1] 研究生休学时间累计最长不得超过一学年。不过，如果研究生因休学创业或到国际组织全时实习，经学校批准，休学时间可以延长至两年。其他情况下，休学一般以学期为单位，期满后仍不能复学的，可以申请继续休学，但累计时间原则上不超过一学年。

基于以上证据，简短回答：研究生休学时间累计最长不得超过一学年。不过，如果研究生因休学创业或到国际组织全时实习，经学校批准，休学时间可以延长至两年。其他情况下，休学一般以学期为单位，期满后仍不能复学的，可以申请继续休学，但累计时间原则上不超过一学年。
[1 | doc1] 研究生因创业或到国际组织实习，经学校批准，休学时间可以延长至两年。

基于以上证据，简短回答：研究生因创业或到国际组织实习，经学校批准，休学时间可以延长至两年。
[1 | doc1] 学满一学年以上退学的研究生，按规定时间办完退学手续后，可申请办理肄业证书。学习不满一学年退学的研究生可办理学习证明。

基于以上证据，简短回答：学满一学年以上退学的研究生，按规定时间办完退学手续后，可申请办理肄业证书。学习不满一学年退学的研究生可办理学习证明。
[1 | doc1] 研究生申请延长学习年限的最长学习年限截止日期为当年8月31日。

基于以上证据，简短回答：研究生申请延长学习年限的最长学习年限截止日期为当年8月31日。
[1 | doc1] 临床医学专业硕士研究生的基本学习年限是3年。

基于以上证据，简短回答：临床医学专业硕士研究生的基本学习年限是3年。
问题：延长学业年限的条件有哪些？
请基于资料简洁回答。

基于以上证据，简短回答：临床医学专业硕士研究生的基本学习年限是3年。
[1 | doc1] 研究生休学时间累计最长不得超过一学年。不过，如果研究生因休学创业或到国际组织全时实习，经学校批准，休学时间可以延长至两年。其他情况下，休学一般以学期为单位，期满后仍不能复学的，可以申请继续休学，但累计时间原则上不超过",0.02887553778644369,0.1904761904761905,0.0,6.668580770492554
课程成绩不达标如何处理？,RAG,"已知资料：[1 | doc1] 短期挂职实践项目的时间要求是不少于四周。参加者需完成""技术报告""且成绩达到""良""(含)以上，才能获得2学分。该项目由研究生工作部或院(系)组织，实践单位包括各级党政群机关、事业单位，市属及以上工业企业、科研院(所)，各开发区(新区)以及国际组织实习挂职。

基于以上证据，简短回答：短期挂职实践项目的时间要求是不少于四周。参加者需完成""技术报告""且成绩达到""良""(含)以上，才能获得2学分。该项目由研究生工作部或院(系)组织，实践单位包括各级党政群机关、事业单位，市属及以上工业企业、科研院(所)，各开发区(新区)以及国际组织实习挂职。
[1 | doc1] 德育助理在以下情况下会被考核为“不合格”：

1. 政治觉悟不高，工作中出现不当言论或行为，造成不良影响的;
2. 违反校纪校规，被学院或学校纪律处分的;
3. 在上级和学校的有关工作检查中存在突出问题的;
4. 在事关稳定工作中存在突出问题的;
5. 遇有突发事件，知情不报或处理不当，造成严重后果的;
6. 所带班级、党支部等集体涣散或所负责的纵向工作表现较差的;
7. 研究生工作会议出席率低于60%，或无故缺席3次以上者;
8. 未能完成学校规定的年度学习培训任务的;
9. 未履行检查职责，所负责工作中出现重大安全事故的;
10. 未能完成学业要求，屡次旷课，无故挂科的。

基于以上证据，简短回答：德育助理在以下情况下会被考核为“不合格”：

1. 政治觉悟不高，工作中出现不当言论或行为，造成不良影响的;
2. 违反校纪校规，被学院或学校纪律处分的;
3. 在上级和学校的有关工作检查中存在突出问题的;
4. 在事关稳定工作中存在突出问题的;
5. 遇有突发事件，知情不报或处理不当，造成严重后果的;
6. 所带班级、党支部等集体涣散或所负责的纵向工作表现较差的;
7. 研究生工作会议出席率低于60%，或无故缺席3次以上者;
8. 未能完成学校规定的年度学习培训任务的;
9. 未履行检查职责，所负责工作中出现重大安全事故的;
10. 未能完成学业要求，屡次旷课，无故挂科的。
[1 | doc1] 德育助理考核结果为“不合格”的后果包括以下几点：

1. **绩效津贴取消**：考核结果为“不合格”的德育助理不享有绩效津贴，仅能获得基础津贴。

2. **工作资格终止**：除确因特殊情况可视情节考虑外，考核结果为“不合格”的德育助理不得继续从事德育助理工作。

3. **纪律或学业问题影响**：若因违反校纪校规、政治觉悟问题、工作失职(如突发事件处理不当、重大安全事故等)或学业不达标(如旷课、挂科)导致不合格，可能面临更严重的纪律或学业处分。

以上后果直接关联考核结果的应用和岗位管理，确保德育助理工作的严肃性和规范性。

基于以上证据，简短回答：德育助理考核结果为“不合格”的后果包括以下几点：

1. **绩效津贴取消**：考核结果为“不合格”的德育助理不享有绩效津贴，仅能获得基础津贴。

2. **工作资格终止**：除确因特殊情况可视情节考虑外，考核结果为“不合格”的德育助理不得继续从事德育助理工作。

3. **纪律或学业问题影响**：若因违反校纪校规、政治觉悟问题、工作失职(如突发事件处理不当、重大安全事故等)或学业不达标(如旷课、挂科)导致不合格，可能面临更严重的纪律或学业处分。

以上后果直接关联考核结果的应用和岗位管理，确保德育助理工作的严肃性和规范性。
[1 | doc1] 分项成绩指的是在申请人参加的外语考试中，各单项技能(如听力、阅读、写作、口语)的成绩。

基于以上证据，简短回答：分项成绩指的是在申请人参加的外语考试中，各单项技能(如听力、阅读、写作、口语)的成绩。

[1 | doc1] 申请者可以根据个人情况，在《研究生出国(境)交流学习申请表》中注明申请交流学习的时间，并填写交流学习单位名称。

基于以上证据，简短回答：申请者可以根据个人情况",0.011357462452905994,0.0909090909090909,0.0,6.873924255371094
